Nombre,Categoría
Acedia granizada 1x7kg,Pescados
Adobo de cazón 3kg,Pescados
Angulas 8x200g,Pescados
Anillas de calamar,Pescados
Bacalao lomo salado 1x5kg,Pescados
Bacalao lomo icelandic 1x5kg,Pescados
Bacalao lomo centro 1x7kg,Pescados
Barriga atún congelada al vacío,Pescados
Boquerones griegos,Pescados
Brochetas sepia 5x1kg,Pescados
Caballas congeladas,Pescados
Caella entera limpia taco,Pescados
Calamar 1x6kg,Pescados
Calamar chino troceado arrozante,Pescados
Calamar limpio 20/40,Pescados
Calamar patagónico bloque 4L,Pescados
Chanquetes chino 1x6kg,Pescados
Choco en tiras 1kg,Pescados
Choco limpio 13/20p,Pescados
Cocochas bacalao 6x2kg,Pescados
Delicias del mar 20 unid,Pescados
Desmigado bacalao congelado 4kg,Pescados
Filete araña 1x3kg,Pescados
Filete atún 1x6kg,Pescados
Filete caballa,Pescados
Filete caella 1x7kg,Pescados
Filete corvina,Pescados
Filete de bacalao 1x11kg,Pescados
Filete de dorada 3/4,Pescados
Filete de gallo 200 1x5kg,Pescados
Filete de marrajo 1x7kg,Pescados
Filete de merluza nacional 4x5kg,Pescados
Filete de palmeta,Pescados
Filete de panga 1x5kg,Pescados
Filete de salmonete,Pescados
Filete de sardina,Pescados
Filete fogonero punto sal 1x11kg,Pescados
Filete gallineta 1x5kg,Pescados
Filete lenguado 1x7kg,Pescados
Filete limanda con piel 5kg,Pescados
Filete mahi-mahi con piel 10kg,Pescados
Filete merluza bloque argentino,Pescados
Filete mero 1x6kg,Pescados
Filete panga interfoliado 5kg,Pescados
Filete rosada sin piel 225/500g,Pescados
Filete rosada sin piel 500/1000g,Pescados
Filete salmón fresco salar,Pescados
Filete salmón 1x10kg,Pescados
Filete tilapia 1x6kg,Pescados
Gulas bandeja 20x200g,Pescados
Hueva de bacalao 200/400g,Pescados
Hueva merluza1x5kg,Pescados
Huevas bacalao cocidas,Pescados
Huevos choco 1kg,Pescados
Lenguadina 300/500,Pescados
Lomo atún congelado,Pescados
Lomo corvina extra 10kg,Pescados
Lomo halibut sin piel 5kg,Pescados
Lomo merlín sin piel,Pescados
Lomos merluza 4x5kg,Pescados
Medallón de salmón 3kg,Pescados
Merluza entera envuelta 3L,Pescados
Patas de pulpo cocidas 4x1'5kg,Pescados
Peludas,Pescados
Pez espada 1x7kg,Pescados
Pijotas,Pescados
Preparado de paella 1x6kg,Pescados
Pulpo cocido entero extra,Pescados
Pulpo t-1,Pescados
Puntilla de marruecos,Pescados
Puntillita china 1x12kg,Pescados
Rape 500/700g,Pescados
Raya limpia 1x8kg,Pescados
Recortes de atún,Pescados
Rodaja rosada 1x7kg,Pescados
Rodajas de merluza nº3 1x6kg,Pescados
Sardinas congeladas 1x7kg,Pescados
Solomillo atún congelado,Pescados
Surimi de langosta 1x24p,Pescados
Taco pez espada centro,Pescados
Taquito atún 1x8kg,Pescados
Taquito pez espada 1x8kg,Pescados
Tira calamar 1x7kg,Pescados
Tubo calamar 1x5kg,Pescados
Almejas marrón 60/80 6x1kg,Mariscos moluscos y bivalvos
Bocas cangrejo L,Mariscos moluscos y bivalvos
Bogavante arrozante 350g/unid,Mariscos moluscos y bivalvos
Brillantes extra,Mariscos moluscos y bivalvos
Buey de mar 1x10kg,Mariscos moluscos y bivalvos
Camarón cocido 1x2kg,Mariscos moluscos y bivalvos
Cangrejo cocido 40/60 2kg,Mariscos moluscos y bivalvos
Capricho calamar 1x4kg,Mariscos moluscos y bivalvos
Carne vieira,Mariscos moluscos y bivalvos
Cigala de arroz,Mariscos moluscos y bivalvos
Cigala nº1 4x1'5kg,Mariscos moluscos y bivalvos
Cola gambón pelada 6kg,Mariscos moluscos y bivalvos
Cola langostino bloque 41/50 6x2kg,Mariscos moluscos y bivalvos
Colas de gambón 1x2kg,Mariscos moluscos y bivalvos
Colas langostinos peladas 6x850g,Mariscos moluscos y bivalvos
Coquinas congeladas 12x250g,Mariscos moluscos y bivalvos
Flan vainilla 6x1kg,Mariscos moluscos y bivalvos
Frutos del mar 1x5kg,Mariscos moluscos y bivalvos
Gambas,Mariscos moluscos y bivalvos
Gamba cola,Mariscos moluscos y bivalvos
Gambas arrocera,Mariscos moluscos y bivalvos
Gambas blancas,Mariscos moluscos y bivalvos
Gambas cristal,Mariscos moluscos y bivalvos
Gambas peladas 30/50 1x5kg,Mariscos moluscos y bivalvos
Gambón n°3,Mariscos moluscos y bivalvos
Gambón n°1 n°2 6x2kg,Mariscos moluscos y bivalvos
Langosta 400/600,Mariscos moluscos y bivalvos
Langostino 40/60 IQF 2x6,Mariscos moluscos y bivalvos
Langostino tigre n°2,Mariscos moluscos y bivalvos
Langostino tigre n°4,Mariscos moluscos y bivalvos
Langostinos cocidos 40/60 2x4kg,Mariscos moluscos y bivalvos
Mejillón Nueva Zelanda,Mariscos moluscos y bivalvos
Mejillón media concha 1x6kg,Mariscos moluscos y bivalvos
Mejillón doble concha 1x5kg,Mariscos moluscos y bivalvos
Mejillón jugosón 1x6kg,Mariscos moluscos y bivalvos
Mejillones sin concha,Mariscos moluscos y bivalvos
Navajas 7kg,Mariscos moluscos y bivalvos
Nécora cocida 5/8 12x800g,Mariscos moluscos y bivalvos
Patas cangrejo XL,Mariscos moluscos y bivalvos
Vieiras 4/6 doble concha,Mariscos moluscos y bivalvos
Vieiras 20/30 media concha,Mariscos moluscos y bivalvos
Zamburiñas,Mariscos moluscos y bivalvos
Adobo harinado 1x6kg,Precocinados
Alas de pollo adobadas,Precocinados
Albóndigas 1x6kg,Precocinados
