id,name,category,price,image,description
1120,ABANICO IBERICO KGR,Carnes,50.66,https://images.unsplash.com/photo-1607623814075-e51df1bdc82f?auto=format&fit=crop&w=400&q=80,Calidad premium de ToscaMare seleccionada para ti.
1434,ABRILLANTADOR AGUAS BLANDAS 5000 NYLS,Otros,19.4,https://images.unsplash.com/photo-1542838132-92c53300491e?auto=format&fit=crop&w=400&q=80,Calidad premium de ToscaMare seleccionada para ti.
102,ACEDIA GRANIZADA 1X7K. TOS.,Pescados,27.9,https://images.unsplash.com/photo-1534482421-64566f976cfa?auto=format&fit=crop&w=400&q=80,Calidad premium de ToscaMare seleccionada para ti.
918,ACEDIA Nº1 GRANIZADA 7KGRS,Pescados,19.18,https://images.unsplash.com/photo-1534482421-64566f976cfa?auto=format&fit=crop&w=400&q=80,Calidad premium de ToscaMare seleccionada para ti.
2134,ACEDIAS FRESCAS.,Pescados,32.53,https://images.unsplash.com/photo-1534482421-64566f976cfa?auto=format&fit=crop&w=400&q=80,Calidad premium de ToscaMare seleccionada para ti.
16,ACEDIAS TRASMALLO,Pescados,11.07,https://images.unsplash.com/photo-1534482421-64566f976cfa?auto=format&fit=crop&w=400&q=80,Calidad premium de ToscaMare seleccionada para ti.
1224,ACEITE ALTO OLEICO 25L,Otros,24.81,https://images.unsplash.com/photo-1542838132-92c53300491e?auto=format&fit=crop&w=400&q=80,Calidad premium de ToscaMare seleccionada para ti.
58,ACEITE ALTO OLEICO 80% 10 LITROS,Otros,11.94,https://images.unsplash.com/photo-1542838132-92c53300491e?auto=format&fit=crop&w=400&q=80,Calidad premium de ToscaMare seleccionada para ti.
1062,ACEITE DE COCO 6X400GRS,Otros,15.63,https://images.unsplash.com/photo-1542838132-92c53300491e?auto=format&fit=crop&w=400&q=80,Calidad premium de ToscaMare seleccionada para ti.
852,ACEITE GIRASOL 1X5L.,Otros,13.07,https://images.unsplash.com/photo-1542838132-92c53300491e?auto=format&fit=crop&w=400&q=80,Calidad premium de ToscaMare seleccionada para ti.
79,ACEITE GIRASOL 25L.,Otros,19.33,https://images.unsplash.com/photo-1542838132-92c53300491e?auto=format&fit=crop&w=400&q=80,Calidad premium de ToscaMare seleccionada para ti.
695,ACEITE OLIVA 12X500ML FLOR MALAGA,Otros,19.74,https://images.unsplash.com/photo-1542838132-92c53300491e?auto=format&fit=crop&w=400&q=80,Calidad premium de ToscaMare seleccionada para ti.
868,ACEITE OLIVA 5 LITROS OLEODIEL,Otros,10.16,https://images.unsplash.com/photo-1542838132-92c53300491e?auto=format&fit=crop&w=400&q=80,Calidad premium de ToscaMare seleccionada para ti.
1293,ACEITE OLIVA MONODOSIS 240X10ML (ACEITES MALAGA),Otros,7.92,https://images.unsplash.com/photo-1542838132-92c53300491e?auto=format&fit=crop&w=400&q=80,Calidad premium de ToscaMare seleccionada para ti.
